activity_date_utc,bid_count,dogs_with_bids,unique_bidders,first_block,last_block,confidence
2025-05-14,3,2,2,25860255,25864770,verified_onchain
2025-05-15,4,2,3,25864914,25869553,verified_onchain
2025-05-16,4,2,3,25873150,25873791,verified_onchain
2025-05-17,1,1,1,25877830,25877830,verified_onchain
2025-05-18,1,1,1,25882251,25882251,verified_onchain
2025-05-19,3,2,2,25885665,25886071,verified_onchain
2025-05-20,5,2,2,25889799,25890012,verified_onchain
2025-05-21,2,2,2,25893667,25893712,verified_onchain
2025-05-22,1,1,1,25897645,25897645,verified_onchain
2025-05-23,2,1,2,25901615,25901617,verified_onchain
2025-05-24,3,2,2,25902888,25905159,verified_onchain
2025-05-25,3,2,2,25908864,25908920,verified_onchain
2025-05-27,1,1,1,25912888,25912888,verified_onchain
2025-05-28,1,1,1,25917097,25917097,verified_onchain
2025-05-29,3,1,2,25920772,25923881,verified_onchain
2025-05-30,4,1,3,25925337,25928113,verified_onchain
2025-05-31,1,1,1,25929516,25929516,verified_onchain
2025-06-01,1,1,1,25932419,25932419,verified_onchain
2025-06-02,3,1,2,25935621,25937040,verified_onchain
2025-06-03,2,2,2,25939341,25939791,verified_onchain
2025-06-04,7,2,3,25943235,25943770,verified_onchain
2025-06-05,1,1,1,25947969,25947969,verified_onchain
2025-06-06,2,1,2,25951790,25951836,verified_onchain
2025-06-07,1,1,1,25955202,25955202,verified_onchain
2025-06-08,5,2,3,25957649,25958661,verified_onchain
2025-06-09,3,2,3,25962573,25963642,verified_onchain
2025-06-11,2,1,2,25969794,25970097,verified_onchain
2025-06-12,1,1,1,25974337,25974337,verified_onchain
2025-06-13,1,1,1,25978404,25978404,verified_onchain
2025-06-14,2,1,2,25981503,25981543,verified_onchain
2025-06-15,6,1,3,25982499,25984426,verified_onchain
2025-06-16,2,1,2,25985995,25988417,verified_onchain
2025-06-17,5,2,4,25988458,25989255,verified_onchain
2025-06-18,1,1,1,25992465,25992465,verified_onchain
2025-06-19,2,2,2,25995621,25995653,verified_onchain
2025-06-20,2,2,2,25998793,25999526,verified_onchain
2025-06-22,4,2,4,26005067,26007059,verified_onchain
2025-06-23,3,1,3,26009334,26009893,verified_onchain
2025-06-28,2,1,2,26026297,26026407,verified_onchain
2025-06-30,2,1,2,26031821,26031860,verified_onchain
2025-07-03,2,1,2,26040344,26041596,verified_onchain
2025-07-07,3,1,3,26053260,26053913,verified_onchain
2025-07-08,3,1,3,26056142,26056479,verified_onchain
2025-07-09,5,2,3,26057684,26059385,verified_onchain
2025-07-10,7,1,5,26062598,26063638,verified_onchain
2025-07-11,6,2,3,26063790,26065900,verified_onchain
2025-07-12,2,1,2,26069011,26069429,verified_onchain
2025-07-13,4,2,2,26071268,26072193,verified_onchain
2025-07-14,4,2,3,26075040,26076415,verified_onchain
2025-07-15,3,2,2,26078671,26079082,verified_onchain
2025-07-16,1,1,1,26080225,26080225,verified_onchain
2025-07-17,3,1,3,26084548,26085926,verified_onchain
2025-07-18,4,1,4,26088336,26089893,verified_onchain
2025-07-20,1,1,1,26096294,26096294,verified_onchain
2025-07-21,1,1,1,26099626,26099626,verified_onchain
2025-07-22,7,2,3,26099755,26102883,verified_onchain
