bid_time_utc,token_id,bidder,bidder_url,bidder_wallet,bid,bid_eth,bid_usd,extended,block_number,tx_hash
2026-05-20 08:32:17,719,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01952 ETH ($41),0.01952,41.21,0,46238295,0x7b3bf5a7f180cc5305de90edababb164d05263cc70cef7644cbbff32c359026c
2026-05-20 08:30:45,719,@bitcoinvestor,https://farcaster.xyz/bitcoinvestor,0x7732f594c38d4940e1076aa9f6f53065b7915953,0.01774 ETH ($37),0.01774,37.45,0,46238249,0x313d7380b758e609a4a4e21698c4caff42c741a5cdf3e51570f8af39eb0cb9f3
2026-05-20 08:06:53,719,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01612 ETH ($34),0.01612,34.03,0,46237533,0xe04dde1ea439afb737fcf69ddc1bb627020d5e60fdae89bd1ade2acd28fc2f20
2026-05-20 04:23:01,719,@bitcoinvestor,https://farcaster.xyz/bitcoinvestor,0x7732f594c38d4940e1076aa9f6f53065b7915953,0.01465 ETH ($31),0.01465,30.93,0,46230817,0x423bd57ff7a42ddd96c20fe8cee509ebcfa6d041d4d92e5d60dda370f9f0ec01
2026-05-19 23:30:21,719,@skunkape,https://farcaster.xyz/skunkape,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,0.01331 ETH ($28),0.01331,28.1,0,46222037,0x79530fb5047a98e2de382638582d5436c4eface145581254f7470805fc22eb64
2026-05-19 18:13:15,719,@bitcoinvestor,https://farcaster.xyz/bitcoinvestor,0x7732f594c38d4940e1076aa9f6f53065b7915953,0.01210 ETH ($26),0.0121,25.54,0,46212524,0x4602c6e141456c303fa358fc2f9ddf4d80f9567caa9ee48b1776fbb4fc7cc18c
2026-05-19 15:29:29,719,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01100 ETH ($23),0.011,23.22,0,46207611,0xf4456f57650220bab78f6a6ce8d69da2b1a51586cecaf29ffb019cee7fc521c2
2026-05-19 15:02:23,719,@skunkape,https://farcaster.xyz/skunkape,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,0.01000 ETH ($21),0.01,21.11,0,46206798,0xfb2d09f052bb5fd2a460603bcc4a2845dcabc1e8fefb4d5d6b9c9c2b6c7f2925
2026-05-19 14:58:21,719,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00400 ETH ($8),0.004,8.44,0,46206677,0x0d6ff1b4b9549a8e806a8c52c47ff31a5d83cdd12c42aa15fec2348034d00389
2026-05-18 05:05:29,718,0x4119…72cb,,0x4119cfa20129f9ea739590ea914cdfbc0c0772cb,0.00500 ETH ($11),0.005,10.56,0,46145691,0xfefe1d9ee8d14ca419003b128b21a6ae51df0da9b3a020c1275870e3ac5fb3bc
