token_id,end_time_utc,block_number,tx_hash,log_index
647,2026-03-08 08:13:13,43083973,0x537ed8859ee428fcfafdab18d459741eee846ac6408c163cffd7f9ef6d2dc5a7,742
647,2026-03-08 08:14:29,43084011,0xaaa2a941ee98a4a29fa48c640151352fdbe37d11bc7306e1eb81bb17d873a648,425
647,2026-03-08 08:16:01,43084057,0x6cfb5828602d390a225b3cb8b0a19fcfc278099a9bbbd09869f55b1516ba5702,456
648,2026-03-09 08:18:17,43127325,0x9536b1638cb6aa99884b6a924bab0c6f06e2f772efb756b0e75d8cbcad29b6ca,203
648,2026-03-09 08:18:49,43127341,0xa36c270a041bdf14e15655e133ba8f42ae210814280c8092bc8e709ca046c3a5,902
649,2026-03-10 08:20:43,43170598,0xc1762bb5ddc0ddf5b0264e9e243dfad0dbac071cdd818c6eab98169176542137,573
649,2026-03-10 08:21:31,43170622,0x1b20f13bc6f093d673378756a4657a1848ae3fed83e800191615091cd0904500,664
649,2026-03-10 08:22:41,43170657,0x5022f5828b96368ffae2c6c8c2b9c0b10fa8587b91b0b67073f45f284fd73fd0,264
649,2026-03-10 08:23:01,43170667,0x5267b921e7922480bc090e87f9c41a70edb8006abbc1130151d4b3dfe3b546c6,526
649,2026-03-10 08:23:45,43170689,0x860f93c6de05e04df068185d51a78626d47b056a8fcb84f1a36e28d52d24d65c,602
651,2026-03-12 08:31:51,43257332,0xb5d3b3294a013b9528c934529eb0ea4e1a3219db5839e8a4170ecde31eb40925,422
653,2026-03-14 09:33:29,43345581,0x9a62d1c605fe1580c2250639fab59547d5f0f0d073e6cc02e272ff3599b326bc,795
656,2026-03-17 13:44:49,43482721,0x24b6d81b319f4bd9119e2b9518c84a90e74780c96a2c3fe8e12f177196a9ee6c,282
658,2026-03-19 14:32:17,43570545,0xc2ee07653e2253ed32196308b930d05ccfcbbcd350ec44046052caf077b64a39,1018
658,2026-03-19 14:32:29,43570551,0x871dab49e119f51ba01f652dd49a5aaf48e9f7e2ad0191d6a3af77c95cf89409,870
658,2026-03-19 14:35:29,43570641,0x286619fc87b844bb022a9e59d1753c4f8655b66713b87666cabb8fbb105a376f,404
658,2026-03-19 14:35:45,43570649,0x7666707bd5fc166169a755c746f5eb54b94c2c22dc018f8eca339c23f2166dcd,203
658,2026-03-19 14:36:47,43570680,0x8bfe44caed3e7a783c6efbc597b53b1f0a14bce12d076e143a486ba378b36af2,576
658,2026-03-19 14:37:07,43570690,0xffea1c95b78c2841bf71653a5ba913495846a59f12eef5b65464313a8525d3fd,295
658,2026-03-19 14:37:51,43570712,0xdd52b1f20a07c6b16f290eed3f8a6b926d9cfdfe299ca9c38362d037edb2d1e6,503
658,2026-03-19 14:38:37,43570735,0x86ab3f4281d04ebd880630a5a00881e011e5c5427d0dd2ce19ad7b8202b61378,530
659,2026-03-20 14:39:43,43613968,0x138256c0f45166f2f1409c7d56a8097b7061b70565c0d810c293965593d3b95f,502
659,2026-03-20 14:40:11,43613982,0x44d50c459a6f488c5fe3bf679968604dbbe681c4f8e033532bc859939392418f,657
659,2026-03-20 14:40:53,43614003,0x9073239911a3c0acab9805e560d4e345b723c358e861bb799a46df0a0ccc9085,641
